Imagen,Tipos de Daño,Piezas del Vehículo,Sugerencia,Tipos de Daño_encoded,Piezas del Vehículo_encoded,Sugerencia_encoded
1.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
2.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
3.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
4.jpg,Rotura,Rueda ,Reparar,6,40,1
5.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
6.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
7.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
8.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
9.jpg,Deformación,Capó ,Reparar,2,3,1
9.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
9.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
9.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
9.jpg,Rotura,Luz indicadora delantera derecha,Reemplazar,6,15,2
10.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
11.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
12.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
13.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
14.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
15.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
15.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
15.jpg,Rotura,Guardabarros delantero derecho ,Reparar,6,11,1
15.jpg,Rotura,Luz indicadora delantera derecha,Reemplazar,6,15,2
16.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
17.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
17.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
18.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
18.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
18.jpg,Rotura,Luz indicadora delantera derecha,Reemplazar,6,15,2
19.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
20.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
