Imagen|damages|parts|suggestions
563.jpg|[6]|[31]|[2]
746.jpg|[1, 2, 2, 6]|[12, 33, 3, 10]|[1, 2, 1, 2]
404.jpg|[1, 1]|[14, 38]|[1, 1]
295.jpg|[5]|[33]|[1]
817.jpg|[5, 5]|[33, 11]|[1, 1]
794.jpg|[1, 3, 5, 5]|[11, 7, 35, 33]|[1, 2, 1, 1]
793.jpg|[4, 6, 6]|[33, 10, 2]|[1, 2, 2]
860.jpg|[1, 1, 2, 2, 3, 6, 6]|[33, 24, 11, 3, 7, 9, 31]|[1, 1, 2, 2, 2, 2, 2]
482.jpg|[5]|[34]|[1]
881.jpg|[4]|[33]|[1]
428.jpg|[3]|[33]|[1]
769.jpg|[5, 5, 5]|[37, 25, 13]|[1, 1, 1]
715.jpg|[1, 1, 4, 4, 6]|[11, 3, 9, 15, 39]|[1, 1, 2, 2, 2]
278.jpg|[6]|[32]|[2]
821.jpg|[5, 6]|[34, 40]|[1, 1]
367.jpg|[1]|[36]|[1]
582.jpg|[1, 2]|[25, 36]|[1, 2]
621.jpg|[5]|[14]|[1]
623.jpg|[6]|[31]|[2]
709.jpg|[6]|[31]|[2]
1057.jpg|[1, 6]|[33, 16]|[1, 2]
850.jpg|[1]|[37]|[1]
82.jpg|[6]|[31]|[2]
552.jpg|[2, 6]|[3, 31]|[1, 2]
920.jpg|[5]|[33]|[1]
1132.jpg|[5]|[33]|[1]
361.jpg|[5]|[33]|[1]
857.jpg|[5]|[13]|[1]
700.jpg|[5]|[33]|[1]
654.jpg|[5]|[34]|[1]
134.jpg|[5]|[32]|[1]
448.jpg|[5]|[33]|[1]
496.jpg|[5]|[33]|[1]
965.jpg|[5]|[33]|[1]
446.jpg|[1, 5]|[37, 13]|[1, 1]
322.jpg|[5, 6]|[33, 40]|[1, 1]
291.jpg|[5]|[33]|[1]
625.jpg|[1, 1, 3, 6]|[33, 3, 11, 9]|[1, 1, 2, 2]
576.jpg|[1]|[33]|[1]
457.jpg|[1, 1, 6]|[11, 35, 40]|[1, 1, 1]
332.jpg|[1, 1]|[36, 25]|[1, 1]
352.jpg|[1]|[13]|[1]
787.jpg|[6]|[19]|[2]
473.jpg|[1, 1, 1]|[37, 13, 25]|[1, 1, 1]
348.jpg|[1]|[12]|[2]
79.jpg|[2, 2]|[36, 38]|[1, 1]
961.jpg|[1]|[25]|[1]
668.jpg|[6]|[31]|[2]
618.jpg|[5]|[33]|[1]
936.jpg|[1]|[33]|[1]
753.jpg|[1, 1, 6, 6]|[11, 3, 33, 9]|[1, 1, 1, 2]
370.jpg|[4, 5]|[34, 21]|[1, 1]
837.jpg|[1, 2, 2, 6]|[3, 12, 33, 10]|[1, 1, 2, 2]
534.jpg|[5, 5]|[33, 12]|[1, 1]
445.jpg|[6]|[10]|[2]
9.jpg|[2, 2, 6, 6, 6]|[3, 12, 31, 9, 15]|[1, 1, 2, 2, 2]
286.jpg|[6]|[31]|[2]
264.jpg|[1]|[12]|[1]
420.jpg|[5, 6]|[34, 19]|[1, 2]
645.jpg|[6]|[31]|[2]
858.jpg|[1, 1, 1, 3, 5]|[36, 12, 25, 16, 38]|[1, 1, 1, 2, 1]
927.jpg|[5]|[38]|[1]
339.jpg|[1, 2, 6]|[13, 34, 19]|[1, 2, 2]
902.jpg|[1, 6]|[21, 34]|[1, 1]
1011.jpg|[5]|[33]|[1]
181.jpg|[6]|[31]|[2]
1136.jpg|[1, 2, 2]|[14, 38, 25]|[1, 2, 1]
1019.jpg|[5]|[14]|[1]
512.jpg|[6]|[40]|[1]
806.jpg|[5]|[33]|[1]
1046.jpg|[1, 6, 6]|[11, 7, 15]|[1, 2, 2]
996.jpg|[3, 6]|[33, 31]|[2, 2]
555.jpg|[1, 2, 6]|[12, 33, 40]|[1, 1, 2]
631.jpg|[5]|[34]|[1]
1106.jpg|[6]|[9]|[2]
57.jpg|[1, 1]|[35, 37]|[1, 1]
312.jpg|[1]|[34]|[1]
791.jpg|[5, 5]|[35, 11]|[1, 1]
1024.jpg|[1]|[36]|[1]
209.jpg|[5]|[34]|[1]
387.jpg|[1]|[34]|[1]
192.jpg|[1]|[34]|[1]
1050.jpg|[6]|[40]|[1]
285.jpg|[1]|[34]|[1]
905.jpg|[6]|[32]|[2]
91.jpg|[6]|[31]|[2]
158.jpg|[3, 6]|[33, 9]|[1, 2]
542.jpg|[6, 6]|[16, 33]|[2, 1]
528.jpg|[1, 1, 6]|[33, 12, 10]|[1, 1, 2]
1100.jpg|[1, 1, 6]|[33, 12, 10]|[1, 1, 2]
580.jpg|[5, 5]|[13, 37]|[1, 1]
1083.jpg|[5, 5]|[34, 14]|[1, 1]
1058.jpg|[6]|[31]|[2]
814.jpg|[5]|[33]|[1]
789.jpg|[1, 1, 4, 6]|[11, 3, 33, 9]|[1, 1, 1, 2]
605.jpg|[1]|[34]|[1]
487.jpg|[1, 1]|[38, 14]|[1, 1]
